Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,Agent,Country,State or Province,City,Order Date,Ship Date,Profit,Quantity ordered new,Sales
High,0.06,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,William,United States,California,Laguna Niguel,28/01/2015,29/01/2015,-28.3,1,67.49
High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,William,United States,California,Laguna Niguel,28/01/2015,30/01/2015,-5.31,1,2.25
Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,West,William,United States,California,Lakewood,02/05/2015,04/05/2015,8.89,12,54.78
High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston¨ Vacuum Mount KS Pencil Sharpener,0.59,West,William,United States,Oregon,Grants Pass,22/02/2015,23/02/2015,144.69,13,424.68
High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,West,William,United States,Oregon,Grants Pass,27/03/2015,28/03/2015,-35.88,2,40.17
Medium,0.09,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,West,William,United States,Oregon,Grants Pass,20/01/2015,22/01/2015,210,8,783.55
Low,0.06,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,West,William,United States,Oregon,Grants Pass,12/03/2015,19/03/2015,3568.1,22,3838.14
Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,West,William,United States,Oregon,Gresham,15/06/2015,17/06/2015,-84.44,13,58.68
Not Specified,0.04,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,West,William,United States,Oregon,Gresham,15/06/2015,16/06/2015,24.31,18,53.1
High,0,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,0.52,West,William,United States,Washington,Redmond,10/05/2015,11/05/2015,25.91,6,647.07
Not Specified,0,115.99,2.5,52,Lorraine Kelly,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6160,0.57,West,William,United States,Washington,Puyallup,10/03/2015,10/03/2015,162.67,6,627.04
Critical,0.07,3502.14,8.73,53,Sidney Russell Austin,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,0.57,West,William,United States,Washington,Redmond,28/01/2015,30/01/2015,-6923.6,1,3267.55
Not Specified,0.02,5.98,5.79,53,Sidney Russell Austin,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1903,0.36,West,William,United States,Washington,Redmond,10/03/2015,11/03/2015,-67.49,17,110.19
Medium,0.06,3.8,1.49,56,Randall Montgomery,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,0.38,East,Erin,United States,New York,Tonawanda,20/04/2015,21/04/2015,19.63,20,73.55
Medium,0.06,1.76,0.7,56,Randall Montgomery,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,East,Erin,United States,New York,Tonawanda,20/04/2015,21/04/2015,-1.65,17,29.57
High,0.02,5.98,5.15,62,Pam Gilbert,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 193,0.36,Central,Chris,United States,Texas,Round Rock,09/05/2015,11/05/2015,2.14,3,22.85
High,0.04,29.14,4.86,62,Pam Gilbert,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Snap-A-Way¨ Black Print Carbonless Speed Message, No Reply Area, Duplicate",0.38,Central,Chris,United States,Texas,Round Rock,12/06/2015,14/06/2015,349.41,17,506.39
Not Specified,0,3.69,0.5,64,Lynn Morrow,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 501,0.38,South,Sam,United States,Virginia,Salem,02/03/2015,04/03/2015,-37.53,1,4
Not Specified,0.02,175.99,4.99,64,Lynn Morrow,Express Air,Small Business,Technology,Telephones and Communication,Small Box,5165,0.59,South,Sam,United States,Virginia,Salem,02/03/2015,02/03/2015,101.49,4,589.8
Low,0.05,155.06,7.07,67,Ellen McCormick,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,West,William,United States,California,Napa,02/01/2015,09/01/2015,845.66,8,1225.6
Low,0,291.73,48.8,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagodaª Armless Upholstered Stacking Chairs,0.56,East,Erin,United States,New York,New York City,02/01/2015,02/01/2015,-308.93,4,1239.06
Low,0.07,100.98,45,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutaskª Swivel Chairs,0.69,East,Erin,United States,New York,New York City,02/01/2015,04/01/2015,-1679.76,43,4083.19
Low,0.05,155.06,7.07,68,Scott Bunn,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,East,Erin,United States,New York,New York City,02/01/2015,09/01/2015,575.4,32,4902.38
High,0.09,122.99,70.2,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",0.74,East,Erin,United States,New York,New York City,02/02/2015,04/02/2015,-2426.55,49,5718.85
High,0.09,122.99,70.2,70,Annette Boone,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",0.74,East,Erin,United States,Vermont,Burlington,02/02/2015,04/02/2015,-2426.55,12,1400.53
High,0.04,296.18,54.12,83,Edgar Stone,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon 94000 Series Round Tables,0.76,East,Erin,United States,Ohio,Canton,15/03/2015,15/03/2015,-715.78,6,1821.89
Not Specified,0,8.09,7.96,84,Helen Stein,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,East,Erin,United States,Ohio,Cincinnati,02/02/2015,03/02/2015,-144.56,11,90.98
High,0.08,896.99,19.99,84,Helen Stein,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL300 Electric Binding System,0.38,East,Erin,United States,Ohio,Cincinnati,30/03/2015,02/04/2015,7402.32,13,10728
Low,0.05,161.55,19.99,87,Norman Shields,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer¨ Files,0.66,West,William,United States,California,Vacaville,03/06/2015,08/06/2015,1892.42,19,3127.69
High,0.09,4.91,0.5,87,Norman Shields,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 493,0.36,West,William,United States,California,Vacaville,22/03/2015,23/03/2015,28.86,9,41.82
High,0.01,296.18,54.12,87,Norman Shields,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon 94000 Series Round Tables,0.76,West,William,United States,California,Vacaville,22/03/2015,25/03/2015,173.48,9,2875.72
High,0.07,19.84,4.1,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Prismacolor Color Pencil Set,0.44,West,William,United States,California,Vallejo,17/05/2015,18/05/2015,117.85,9,170.8
Medium,0.05,5.18,2.04,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Array¨ Memo Cubes,0.36,West,William,United States,California,Vallejo,18/02/2015,20/02/2015,34.01,10,53.54
Medium,0.06,175.99,8.99,91,Wallace Werner,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,2180,0.57,West,William,United States,California,Vallejo,04/03/2015,06/03/2015,2031.51,23,3363.53
High,0.07,8.34,1.43,92,Victoria Baker Hoover,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",0.35,South,Sam,United States,Louisiana,Terrytown,17/05/2015,19/05/2015,-190.68,16,132.08
High,0.09,4.98,6.07,92,Victoria Baker Hoover,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1897,0.36,South,Sam,United States,Louisiana,Terrytown,17/05/2015,18/05/2015,325.4,9,45.34
Medium,0.04,12.98,3.14,92,Victoria Baker Hoover,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme¨ 8"" Straight Scissors",0.6,South,Sam,United States,Louisiana,Terrytown,07/06/2015,09/06/2015,22.82,16,216.04
Not Specified,0.04,160.98,30,94,Eddie House Mueller,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.62,Central,Chris,United States,Illinois,Chicago,03/05/2015,05/05/2015,116.1,37,6276.34
Not Specified,0.01,17.98,4,94,Eddie House Mueller,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",0.79,Central,Chris,United States,Illinois,Chicago,03/05/2015,05/05/2015,-87.96,146,2664.4
Not Specified,0.04,160.98,30,97,Max McKenna,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.62,Central,Chris,United States,Kansas,Manhattan,03/05/2015,05/05/2015,255.42,9,1526.68
Not Specified,0.06,115.99,8.99,97,Max McKenna,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,5185,0.58,Central,Chris,United States,Kansas,Manhattan,03/05/2015,04/05/2015,685.61,20,1952.56
Medium,0.1,19.98,4,101,Claudia Boyle,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,East,Erin,United States,Maine,Biddeford,22/06/2015,24/06/2015,-16.2,16,303.59
Medium,0.04,300.98,54.92,102,Caroline Johnston,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,East,Erin,United States,Massachusetts,Boston,06/04/2015,07/04/2015,2023.75,31,9459.94
Medium,0.1,19.98,4,102,Caroline Johnston,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,East,Erin,United States,Massachusetts,Boston,22/06/2015,24/06/2015,-20.25,65,1233.32
Medium,0.09,2.88,1.49,102,Caroline Johnston,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,East,Erin,United States,Massachusetts,Boston,22/06/2015,23/06/2015,-3.38,17,47.31
Medium,0.04,300.98,54.92,107,Lois Hamilton,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,East,Erin,United States,New Hampshire,Dover,06/04/2015,07/04/2015,1684.48,8,2441.27
Medium,0.09,2.88,1.49,109,Tom McFarland,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,East,Erin,United States,New Jersey,Lodi,22/06/2015,23/06/2015,-2.7,4,11.13
High,0.03,4.26,1.2,114,Ron Newton,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang¨ Watercolor Pencils, 10-Color Set with Brush",0.44,West,William,United States,Oregon,Lake Oswego,03/01/2015,04/01/2015,18.66,7,29.5
Medium,0.01,4.91,0.5,114,Ron Newton,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,West,William,United States,Oregon,Lake Oswego,04/04/2015,06/04/2015,40.25,12,58.33
Medium,0.09,4,1.3,114,Ron Newton,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones¨ Memo Sheets,0.37,West,William,United States,Oregon,Lake Oswego,04/04/2015,06/04/2015,14.09,5,20.42
Low,0.07,2.12,1.99,115,Dwight M Carr,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,0.55,West,William,United States,Oregon,Mcminnville,09/04/2015,11/04/2015,-55.84,12,26.07
High,0.03,4.26,1.2,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang¨ Watercolor Pencils, 10-Color Set with Brush",0.44,West,William,United States,Washington,Seattle,03/01/2015,04/01/2015,9.82,29,122.23
Medium,0.01,4.91,0.5,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,West,William,United States,Washington,Seattle,04/04/2015,06/04/2015,112.06,47,228.46
Medium,0.09,4,1.3,117,Linda Weiss,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones¨ Memo Sheets,0.37,West,William,United States,Washington,Seattle,04/04/2015,06/04/2015,16.79,19,77.61
Low,0.07,2.12,1.99,117,Linda Weiss,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,0.55,West,William,United States,Washington,Seattle,09/04/2015,11/04/2015,-55.84,46,99.94
High,0.05,6.3,0.5,120,Helen H Murphy,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 51,0.39,West,William,United States,Utah,Layton,12/01/2015,13/01/2015,41.3,10,59.85
High,0.09,205.99,3,120,Helen H Murphy,Express Air,Corporate,Technology,Telephones and Communication,Small Box,6185,0.58,West,William,United States,Utah,Layton,12/01/2015,14/01/2015,1179.02,10,1708.73
Critical,0.06,8.57,6.14,123,Shawn Stern,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme¨ Office Executive Series Stainless Steel Trimmers,0.59,South,Sam,United States,Virginia,Tysons Corner,09/04/2015,10/04/2015,105.68,11,94.97
Not Specified,0.02,1.74,4.08,129,Kara Allison,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,"Eldon Regeneration Recycled Desk Accessories, Smoke",0.53,Central,Chris,United States,Illinois,Alton,27/01/2015,28/01/2015,-37.39,5,10.23
Not Specified,0.07,15.74,1.39,129,Kara Allison,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",0.4,Central,Chris,United States,Illinois,Alton,25/05/2015,26/05/2015,149.89,14,217.23
Critical,0.04,18.97,9.54,136,Dale Gillespie,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,0.37,West,William,United States,California,Petaluma,16/05/2015,17/05/2015,3.04,5,101.74
Critical,0.09,10.98,3.37,136,Dale Gillespie,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars¨ Softgrip Scissors,0.57,West,William,United States,California,Petaluma,16/05/2015,17/05/2015,2.71,8,84.52
Critical,0.03,22.84,11.54,142,Brooke Weeks Taylor,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1964,0.39,East,Erin,United States,Connecticut,Ansonia,02/06/2015,03/06/2015,91.96,13,312.59
Critical,0.05,10.98,3.37,144,Marguerite Moss,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars¨ Softgrip Scissors,0.57,East,Erin,United States,Massachusetts,Yarmouth,02/06/2015,03/06/2015,-2.54,6,64.4
Medium,0.06,7.04,2.17,145,Rhonda Ivey,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",0.38,East,Erin,United States,Pennsylvania,West Mifflin,15/01/2015,17/01/2015,2.49,2,14.65
Low,0.07,154.13,69,145,Rhonda Ivey,Express Air,Home Office,Furniture,Tables,Large Box,Laminate Occasional Tables,0.68,East,Erin,United States,Pennsylvania,West Mifflin,16/03/2015,16/03/2015,-634.73,3,453.62
Not Specified,0.01,45.98,4.8,146,Yvonne Fox,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,Tenex B1-RE Series Chair Mats for Low Pile Carpets,0.68,Central,Chris,United States,Texas,Watauga,12/03/2015,13/03/2015,133.58,4,193.59
Medium,0.06,180.98,26.2,146,Yvonne Fox,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global Ergonomic Managers Chair,0.59,Central,Chris,United States,Texas,Watauga,23/04/2015,24/04/2015,251.41,5,929.57
Critical,0.09,32.98,5.5,151,Geoffrey Zhu,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,PC Concepts 116 Key Quantum 3000 Keyboard,0.75,South,Sam,United States,Tennessee,Kingsport,22/01/2015,23/01/2015,-20.26,2,62.46
High,0.09,5.98,2.5,151,Geoffrey Zhu,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Wausau Papers Astrobrights¨ Colored Envelopes,0.36,South,Sam,United States,Tennessee,Kingsport,20/04/2015,22/04/2015,13.9,5,28.11
Critical,0.09,2.88,0.7,152,Kent Kerr,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 335,0.56,South,Sam,United States,Tennessee,Knoxville,15/01/2015,16/01/2015,-172.72,2,5.5
Low,0.01,79.52,48.2,152,Kent Kerr,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,Eldon Cleatmat Plusª Chair Mats for High Pile Carpets,0.74,South,Sam,United States,Tennessee,Knoxville,19/04/2015,26/04/2015,-40.68,8,667.84
High,0.01,65.99,8.99,152,Kent Kerr,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,StarTAC Analog,0.6,South,Sam,United States,Tennessee,Knoxville,29/03/2015,01/04/2015,97.86,5,292.23
Low,0.1,39.98,4,152,Kent Kerr,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Microsoft Natural Keyboard Elite,0.7,South,Sam,United States,Tennessee,Knoxville,18/06/2015,22/06/2015,360.24,21,772.56
Critical,0.01,95.99,4.9,156,Diana Xu,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,T60,0.56,West,William,United States,Colorado,Fort Collins,14/05/2015,15/05/2015,713.88,13,1050.08
High,0.03,10.89,4.5,156,Diana Xu,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 6 Outlet Metallic Surge Strip,0.59,West,William,United States,Colorado,Fort Collins,25/01/2015,26/01/2015,-18.64,3,33.82
Medium,0.05,100.98,35.84,164,Robin Kramer Vaughn,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",0.62,West,William,United States,Washington,Richland,02/01/2015,04/01/2015,-111.4,7,715.55
Medium,0.02,4.98,5.49,164,Robin Kramer Vaughn,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1952,0.38,West,William,United States,Washington,Richland,02/01/2015,03/01/2015,-77.03,9,45.63
Low,0.08,399.98,12.06,166,Vicki Hauser,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,0.56,South,Sam,United States,Tennessee,Lebanon,11/01/2015,18/01/2015,28.51,5,1839.91
Low,0.08,43.22,16.71,169,Janice Cole,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",0.66,South,Sam,United States,Louisiana,Baton Rouge,03/01/2015,05/01/2015,280.27,3,130.62
Low,0.05,574.74,24.49,169,Janice Cole,Regular Air,Corporate,Technology,Office Machines,Large Box,Polycom ViaVideoª Desktop Video Communications Unit,0.37,South,Sam,United States,Louisiana,Baton Rouge,03/01/2015,10/01/2015,-112.43,12,6945.16
Low,0.04,10.14,2.27,169,Janice Cole,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",0.36,South,Sam,United States,Louisiana,Baton Rouge,03/01/2015,07/01/2015,24.92,3,30.94
Critical,0.05,1.88,1.49,171,Christina Matthews,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Staples¨ General Use 3-Ring Binders,0.37,East,Erin,United States,New Jersey,Fort Lee,13/04/2015,15/04/2015,-2.91,1,3.42
Critical,0.02,49.99,19.99,181,Wesley Waller,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,West,William,United States,California,San Francisco,21/02/2015,21/02/2015,-76.89,18,901.81
High,0.07,1.68,1.57,181,Wesley Waller,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,William,United States,California,San Francisco,22/05/2015,23/05/2015,-35.75,116,186.59
Critical,0.02,49.99,19.99,184,Phillip Holmes,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,East,Erin,United States,Massachusetts,Arlington,21/02/2015,21/02/2015,-76.89,5,250.5
High,0.07,10.06,2.06,188,Alex Harrell,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit¨ Designer Note Cubes¨,0.39,Central,Chris,United States,Texas,Gainesville,22/05/2015,22/05/2015,152.66,23,221.24
High,0.07,1.68,1.57,188,Alex Harrell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,Central,Chris,United States,Texas,Gainesville,22/05/2015,23/05/2015,7.15,29,46.65
High,0.1,58.1,1.49,190,Lloyd Norris,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Arch Ring Binders,0.38,Central,Chris,United States,Illinois,Arlington Heights,12/02/2015,13/02/2015,113.65,3,164.71
High,0.01,80.48,4.5,191,Gerald Kearney,Regular Air,Corporate,Office Supplies,Appliances,Small Box,APC 7 Outlet Network SurgeArrest Surge Protector,0.55,Central,Chris,United States,Illinois,Aurora,12/02/2015,15/02/2015,-35.47,1,79.68
Not Specified,0.05,3.8,1.49,191,Gerald Kearney,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,0.38,Central,Chris,United States,Illinois,Aurora,09/04/2015,11/04/2015,14.47,14,53.26
Not Specified,0.09,30.73,4,191,Gerald Kearney,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Fellowes 17-key keypad for PS/2 interface,0.75,Central,Chris,United States,Illinois,Aurora,09/04/2015,09/04/2015,-99.99,7,203.49
Not Specified,0,125.99,8.08,191,Gerald Kearney,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC ST7762,0.57,Central,Chris,United States,Illinois,Aurora,09/04/2015,10/04/2015,1348.6,22,2356.01
Not Specified,0,213.45,14.7,193,Danny Hong,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,0.59,West,William,United States,Utah,Layton,03/01/2015,05/01/2015,-560.81,1,224.12
Medium,0.07,6.54,5.27,193,Danny Hong,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones¨ Four-Pocket Poly Binders,0.36,West,William,United States,Utah,Layton,30/03/2015,01/04/2015,-66.04,21,140.3
